,product_name,url,current_price,old_price
0,Swiftly Tech Long Sleeve 2.0,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2/_/prod9750543,$78,
1,lululemon Align™ Tank *Diamond Dye,https://shop.lululemon.com/p/women-tanks/Align-Tank-Diamond-Dye/_/prod10000326,$64,
2,lululemon Align™ Tank,https://shop.lululemon.com/p/women-tanks/Align-Tank/_/prod9600539,$58,
3,Blissful Bend Tank Top,https://shop.lululemon.com/p/women-tanks/Blissful-Bend-Tank-Top/_/prod10190150,$68,
4,Gather and Grow Tank,https://shop.lululemon.com/p/women-tanks/Gather-and-Grow-Tank/_/prod10400588,$54,
5,Gather and Grow Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Gather-and-Grow-Long-Sleeve/_/prod10390404,$80,
6,Ever Ready Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve/_/prod9960686,$58,
7,Back In Action Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-Ls/_/prod8555454,$58,
8,LA Back in Action Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/LA-Back-in-Action-Long-Sleeve/_/prod9750526,$58,
9,Rest Less Pullover,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover/_/prod5020032,$88,
10,Love Crew III,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-III/_/prod8690612,$48,
11,Power Pivot Tank *Rib,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Rib/_/prod9750455,$58,
12,Swiftly Tech Racerback 2.0,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2/_/prod9750459,$58,
13,Swiftly Tech Long Sleeve 2.0 *Race Length,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2-Race/_/prod9750541,$78,
14,Swiftly Tech Long Sleeve 2.0 *MultiDye,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2-MultiDye/_/prod9750540,$88,
15,Rise and Run Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Rise-and-Run-Short-Sleeve/_/prod10000268,$68,
16,Long Distance Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Long-Distance-Ss/_/prod8555406,$58,
17,All Yours Tee,https://shop.lululemon.com/p/womens-t-shirts/All-Yours-Tee/_/prod9370070,$58,
18,Time To Restore Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Time-To-Restore-Short-Sleeve/_/prod9200600,$58,
19,Ebb To Street Tank *Shine,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank-Shine/_/prod9660149,$68,
20,Back in Action Long Sleeve *Rulu,https://shop.lululemon.com/p/tops-long-sleeve/Back-in-Action-LS-Rulu/_/prod9490366,$88,
21,LA Split Shoulder Muscle Tank,https://shop.lululemon.com/p/women-tanks/LA-Split-Shoulder-Muscle-Tank/_/prod10410052,$58,
22,LA Mock Neck Layered Crop Tank,https://shop.lululemon.com/p/women-tanks/LA-Mock-Neck-Layered-Crop-Tank/_/prod10410054,$68,
23,Swiftly Tech Short Sleeve 2.0,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2/_/prod9750519,$68,
24,Love Tank *Pleated,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated/_/prod8980076,$38,
25,All Yours Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank/_/prod9600540,$44,
26,Ebb To Street Tank *Light Support For B/C Cup,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank/_/prod2380186,$58,
27,All Tied Up Tank,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank/_/prod6020285,$44,
28,Cool Racerback II *Nulu,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu/_/prod8780623,$48,
29,Sculpt Tank,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank/_/prod5020018,$58,
30,Love Tee V,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-V/_/prod8690610,$48,
31,Run Briskly 1/2 Zip,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-12-Zip/_/prod9750534,$98,
32,Cool Racerback II,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II/_/prod8260230,$48,
33,Swiftly Breathe Long Sleeve Squad,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-Squad/_/prod10210120,$78,
34,Swiftly Relaxed Short Sleeve 2.0,https://shop.lululemon.com/p/womens-t-shirts/Swiftly-Tech-SS-Breeze/_/prod9030598,$68,
35,Cates Tee,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee/_/prod9271065,$48,
36,Swiftly Breathe Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS/_/prod10210121,$78,
37,Swiftly Breathe Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS/_/prod10120025,$68,
38,All Yours Tank *Tie Dye,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Tie-Dye/_/prod10390093,$52,
39,Love Crew III *Waffle,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-III-Waffle/_/prod10400457,$58,
40,Swiftly Tech Short Sleeve 2.0 *Race Length,https://shop.lululemon.com/p/womens-t-shirts/Swiftly-Tech-Short-Sleeve-2-Race/_/prod9820343,$68,
41,Love Crew *Splatter,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Splatter/_/prod10280035,$54,
42,All Yours Tee *Graphic,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Tee-Graphic/_/prod9960626,$68,
43,Muscle Love Crop Tank *Tough,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough/_/prod9820380,$58,
44,Swiftly Tech Racerback 2.0 *Race Length,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-RB-2-Race/_/prod9750460,$58,
45,Rest Less Pullover *Bubble Dot,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover-BD/_/prod10280037,$88,
46,Swiftly Relaxed Tank,https://shop.lululemon.com/p/women-tanks/Swiftly-Relaxed-Tank/_/prod9820391,$58,
47,All Yours Crop Tee,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Crop-Tee/_/prod9960620,$48,
48,Rise and Run Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Rise-and-Run-Long-Sleeve/_/prod9960797,$78,
49,Power Y Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Everlux/_/prod9750456,$52,
50,Swiftly Tech Short Sleeve 2.0 *City,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-City/_/prod10080064,$78,
51,All Yours Crop Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank/_/prod9960619,$44,
52,Swiftly Breeze Tank *Relaxed Fit,https://shop.lululemon.com/p/women-tanks/Swiftly-Breeze-Tank/_/prod9270989,$58,
53,Power Pivot Tank,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank/_/prod9750454,$58,
54,Airy Breakaway Tank,https://shop.lululemon.com/p/women-tanks/Airy-Breakaway-Tank/_/prod9960609,$68,
55,Swiftly Relaxed Long Sleeve 2.0,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze/_/prod8510157,$78,
56,Cool Racerback II Nulu Shorter Length *Diamond Dye,https://shop.lululemon.com/p/women-tanks/Cool-RB-II-Nulu-Diamond-Dye-Race/_/prod10390025,$48,
57,Runderful Long Sleeve *Rulu™,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS/_/prod600102,$88,
58,Power Pivot Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Everlux/_/prod9820381,$58,
59,Train to Be Short Sleeve,https://shop.lululemon.com/p/womens-t-shirts/Train-to-Be-SS/_/prod9600524,$68,
60,Swiftly Breathe Short Sleeve *Squad,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS-Squad/_/prod10270106,$68,
61,Swiftly Breathe Crop Tank,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank/_/prod9960840,$58,
62,Breeze By Long Sleeve *Squad,https://shop.lululemon.com/p/tops-long-sleeve/Breeze-By-Long-Sleeve-Squad/_/prod8900601,$78,
63,All Yours Tank *Graphic,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Graphic/_/prod10400394,$48,
64,It's Rulu Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve/_/prod9200634,$88,
65,Power Y Tank *Luon,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Luon/_/prod1870029,$52,
66,Runderful Long Sleeve Rulu™ *Brushed,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-Brushed/_/prod1900037,$88,
67,Love Tee IV,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-Iv/_/prod8351148,$48,
68,Cool Racerback *Luxtreme,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-luxtreme/_/prod450026,$48,
69,Wunder Train Cropped Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Wunder-Train-Cropped-Long-Sleeve/_/prod9960900,$88,
70,All Yours Tank *Veil,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Veil/_/prod9790150,$65,
71,Train to Be Short Sleeve *Stripe,https://shop.lululemon.com/p/tops-short-sleeve/Train-to-Be-Short-Sleeve-Stripe/_/prod9820354,$68,
72,Breeze By Muscle Crop Tank *lululemon,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Crop-Tank-lululemon/_/prod9270952,$58,
73,Hold Tight Short Sleeve *Rib,https://shop.lululemon.com/p/tops-short-sleeve/Hold-Tight-Short-Sleeve/_/prod9960704,$58,
74,Off and Running Tank,https://shop.lululemon.com/p/women-tanks/Off-and-Running-Tank/_/prod9490302,$58,
75,Train to Be Tank,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank/_/prod9820396,$58,
76,Sculpt Tank *Cropped,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped/_/prod9820382,$48,
77,Breeze By Muscle Tank II *Squad,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Tank-II-Squad/_/prod9440063,$58,
78,Power Y Bodysuit *Nulu,https://shop.lululemon.com/p/women-bodysuits/Power-Y-Bodysuit-Nulu/_/prod9750628,$78,
79,Key to Balance Tank,https://shop.lululemon.com/p/women-tanks/Key-to-Balance-Tank/_/prod9960718,$58,
80,All Aligned Mock Neck Long Sleeve *Nulu,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-Long-Sleeve/_/prod9960613,$78,
81,Kitsilano Mock Neck Tee,https://shop.lululemon.com/p/womens-t-shirts/Kitsilano-Mock-Neck-Tee/_/prod9790149,$58,
82,lululemon Align™ Sleeveless Bodysuit,https://shop.lululemon.com/p/women-tanks/Align-Sleeveless-Bodysuit/_/prod9960612,$78,
83,Swiftly Breathe Crop Tank,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank-US/_/prod10260060,$58,
84,Cut Back Crop Tank,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank/_/prod9270960,$38,
85,Breeze By Short Sleeve *Squad,https://shop.lululemon.com/p/tops-short-sleeve/Breeze-By-Short-Sleeve-Squad/_/prod8900622,$68,
86,Sunday Sprint Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Sunday-Sprint-SS/_/prod9750516,$68,
87,Cut Back Crop Tank *Wash,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-Wash/_/prod9750446,$44,
88,5 Year Basic Tee *Best,https://shop.lululemon.com/p/mens-t-shirts/5-Year-Basic-Tee-Best/_/prod9930043,$58,
89,Train to Be Tank,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank-Reg/_/prod9620013,$58,
90,Free To Be Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Free-To-Be-Tank-Everlux/_/prod9370138,$58,
91,Kitsilano Mock Tank,https://shop.lululemon.com/p/women-tanks/Kitsilano-Mock-Tank/_/prod8351071,$48,
